letter,question,answer
ج,"ما اسم الجبل الذي استقرت عليه سفينة نوح بعد الطوفان؟","الجودي"
ج,"صندوق من شجر مفتاحه الحجر؟","جوز الهند"
ج,"من هو أول عالم وضع تجربة تقديرية للمعالجة بالكائنات الحيوية؟","جورج روبورسون"
ج,"من هو الأديب الذي توفي بعد أن انهارت عليه كتبه في مكتبته بسبب كثرتها وثقلها؟","الجاحظ"
ج,"ماهي الهيئة أو الجهة المسؤولة عن مراقبة البضائع والرسوم المفروضة على الاستيراد والتصدير؟","الجمارك"
ج,"ما هو المصطلح ذو الطابع الاقتصادي والأمني المكلف بمراقبة المبادلات التجارية على الحدود وجباية الضرائب على الواردات؟","جمرك"
ج,"من الذين سخرهم الله للنبي سليمان؟","الجن"
ج,"ما هو اسم أكبر تلسكوب في العالم؟","جيمس ويب"
ج,"كورنيش جدة الذي يعتبر مفخرة معمارية وسياحية، ينتهي عند موقع ترفيهي.","جزيرة الأسد."
ج,"يطلق على البئر الذي لم يبنَ بالحجارة؟","الجب"
ج,"قطع من الأرض مفصولة عن بعضها في المحيط ماذا تسمى؟","جزر"
ج,"ما هي المنطقة السعودية التي تضم جبال القهر؟","جازان"
ج,"ما يطلق على الشخص الذي يجمع ويمنع؟","جشع"
ج,"ما المصطلح المحاسبي الذي يشير إلى حصر كمية البضائع ومعرفة قيمتها؟","جرد"
ج,"ما هي الدولة التي عاصمتها تبيليسي؟","جورجيا"
ج,"شكل من أشكال منتجات الألبان المجففة","جميد"
ج,"أحد المدن السعودية تقع في المنطقة الشرقية تُعرف بأنها اكبر مدينة صناعية في العالم","الجبيل الصناعية"
ج,"عملية تغطية الحديد بطبقة رقيقة من الزنك لحمايته من الصدأ","الجلفنة"
ج,"ماذا يسمى علم الأرض؟","جيولوجيا"
ج,"هناك لاعبان كاميرونيان فقط لعبوا لمانشستر يونايتد هما أندريه أونانا ومن؟","جيمبا جيمبا"
ج,"ما اسم البلد الذي يقع في شمال إفريقيا ويشتهر بصحرائه الواسعة؟","الجزائر"
ج,"لقب يطلق على الشجاع الجريء","جسور"
ج,"حيوان لا يشرب الماء أبدًا؟","جربوع"
ج,"من هو آخر لاعب حصل على جائزة بوشكاش في الدوري الإنجليزي؟","جرناتشو"
ج,"إحدى زوجات الرسول الكريم عليه الصلاة والسلام؟","جويرية بنت الحارث"
ج,"ما الحشرة الطائرة التي تظهر بأعداد غفيرة وقد تُلحق أضرارًا بالمحاصيل الزراعية؟","جراد"
ج,"ما هو العلم الذي يدرس الأرض؟","الجيولوجيا"
ج,"ما الجهاز الذي يحوِّل الطاقة الحركية إلى طاقة كهربائية ويُعرف بالإنجليزية باسم Generator؟","جينريتور"
ج,"ما هي القطعة من الخشب أو ما يشبهها التي تثبت على الجزء المصاب من الجسم لمنع حركته؟","جبيرة"
ج,"ما هي أحدث دولة معترف بها في العالم؟","جنوب السودان"
ج,"وصف يقال للصوت المرتفع العالي؟","جهوري"
ج,"ما المصطلح الذي يُطلق على المادة الوراثية المسؤولة عن تحديد صفات الكائنات الحية ونقلها عبر الأجيال؟","الجينات"
ج,"بما تسمى الحيوانات التي تأكل العذرة أو كل ما هو مستقذر ويحرم لحمها ولبنها؟","الجلالة"
ج,"ما اسم المضيق الذي يقع بين إسبانيا والمغرب؟","جبل طارق"
ج,"عين يقع بالقرب من الهفوف به مياه ساخنة غنية بالمعادن وتستخدم مياهه لعلاج الروماتيزم وبعض الأمراض الأخرى","الجوهرية"
ج,"ما هي أصغر دولة في قارة أفريقيا؟","جيبوتي"
ج,"من هي الصحابية التي كان اسمها عاصية فغير رسول الله اسمها لاسم آخر؟","جميلة بنت ثابت"
ج,"الاقتصاد: ما هي الصفة التي تطلق على جمع الزكاة أو جمع المال؟","جباية"
ج,"مطبوعة لها إصدار يحتوي على مادة إعلامية بصياغة صحافية من أنباء متداولة وآخر الأخبار وغيرها","جريدة"
ج,"ما هي أكبر دولة عربية من حيث المساحة؟","الجزائر"
ج,"في اللغة والأدب، الكنانة التي يجعل فيها النشاب.","جعبة"
ج,"من هو أول من أذن في السماء؟","جبريل"
ج,"ما هو العلم الذي يعنى بعلم طبقات الأرض؟","جيولوجيا"
ج,"من هو مقدم برنامج من سيربح المليون؟","جورج قرداحي"
ج,"أشد مراحل العطش وهو العطش القاتل","الجواد"
ج,"ما هو الشيء الذي يقرص المعدة؟","جوع"
ج,"ما هو الشيء الذي يدور في البيت دون أن يتحرك من مكانه مطلقًا؟","الجدار"
ج,"ما هو القارض الصحراوي الصغير ذو الأرجل الخلفية الطويلة التي تمكنه من القفز لمسافات؟","جربوع"
ج,"ما هو العلم الذي يدرس طبقات الأرض وتكوينها الصخري والعمليات الطبيعية التي شكلتها عبر العصور؟","جيولوجيا"
ج,"كلمة تطلق على الشخص البارع والخبير المتمكن في مجاله؟","جهبذ"
ج,"ما هو الشيء الذي يدور حول البيت دون أن يتحرك من مكانه مطلقاً؟","الجدار"
ج,"من هو العالم الذي اخترع المحرك البخاري وساهم بشكل كبير في الثورة الصناعية؟","جيمس واط"
ج,"من هما ملكا عمان اللذان استجابا لدعوة النبي صلى الله عليه وسلم؟","جيفر وعبد"
ج,"ما هي السلسلة الجبلية اللبنانية التي تشتهر بغابات الأرز؟","جبال الباروك."
ج,"ما هي الرياضة التي يُمكن ممارستها على القمر؟","الجولف"
ج,"من هو الرحالة الذي قام باكتشاف قارة أستراليا وإظهارها للعالم؟","جيمس كوك"
ج,"من هو أقوى الحيوانات ذاكرة؟","الجمل"
ج,"ما الفاكهة الاستوائية الغنية بفيتامين C وتُزرع في المناطق الحارة؟","جوافة"
ج,"من الممثل الذي قام بدور شخصية عين الصقر في فيلم Avengers Endgame؟","جيريمي"
ج,"ما هو الاسم الذي يطلق على جمع التكسير الذي لا تتغير فيه صورة المفرد؟","جمع المذكر السالم"
ج,"من هو العالم العربي الذي اخترع أول جهاز لتحديد الاتجاهات المغناطيسية؟","الجاحظ"
ج,"ما هي المعركة البحرية التي دمر فيها الأسطول الإنجليزي الأرمادا الإسبانية؟","جرانفيل"
ج,"ما هو اسم الجبل الذي رست عليه سفينة نوح عليه السلام؟","الجودي"
ج,"ماهي الرياضة التي تتطلب مرونة عالية وحركات دقيقة على الأرض أو على أجهزة خاصة؟","الجمباز"
ج,"هي إمكانية الفرد لعمل وظيفة معينة بشكل مناسب","جدارة"
ج,"ما اسم المسجد الذي صلى فيه النبي صلى الله عليه وسلم أول صلاة جمعة بالمدينة المنورة؟","مسجد الجمعة"
ج,"قبيلة قديمة مندثرة نزلوا بمكة عند هاجر وإسماعيل عليه السلام","جرهم"
ج,"من هو الصحابي الملقب بأبي ذر؟","جندب بن جنادة"
ج,"ما هو أضخم حفل يحتفي بصناع الترفيه في العالم العربي في مجال الفن والسينما والدراما والموسيقى والرياضة؟","جوي أوورد"
ج,"في أي دولة تم تصوير النسخة الأولى من فيلم ماوكلي؟","الجزائر"
ج,"من هو الصحابي الذي قاد المسلمين المهاجرين إلى الحبشة ودافع عن الإسلام أمام النجاشي؟","جعفر بن أبي طالب"
ج,"ما اسم الجبل الذي رست عليه سفينة نوح عليه السلام بعد الطوفان؟","الجودي"
ج,"من هو مخترع التلفاز؟","جون لوجي بيرد"
ج,"ما هو الشيء الذي يحيط بالمبنى أو الغرفة ويفصل بين المساحات؟","جدار"
ج,"شرعه الله في سبيله لإعلاء كلمته، ونصرة دينه، ودحره أعدائه، وشرعه ابتلاءً واختباراً لعباده.","الجهاد"
ج,"في أي مدينة يقع مقر منظمة العمل الدولية؟","جنيف"
ج,"ما هو أخطر أنواع الجن في المنام؟","جاثوم"
ج,"ماذا يطلق على الهاوية شديدة الانحدار؟","جرف"
ج,"ما هي الدولة التي تقع فيها مدينة كيب تاون؟","جنوب أفريقيا"
ج,"ما مرادف كلمة شجاعة؟","جرأة"
ج,"ما هو الجبل الذي توقفت عليه سفينة نوح عليه السلام؟","الجودي"
ج,"ما هي الرتبة العسكرية العليا في العديد من جيوش العالم؟","جنرال"
ج,"ما الاسم الذي يُطلق على الرسم أو الزخرفة التي تُنفَّذ على جدران المباني لأغراض فنية أو تاريخية؟","جدارية"
ج,"ما هو الحاجز الذي قسم مدينة برلين الألمانية لأكثر من 28 عامًا وكان رمزًا للحرب الباردة؟","جدار برلين"
ج,"ما نوع الخلايا التي لديها القدرة على الانقسام والتخصص لتكوين أنواع مختلفة من خلايا الجسم؟","خلايا جذعية"
ج,"ما المصطلح الفلسفي الذي يشير إلى الحوار القائم على الحجة لدحض الرأي المخالف؟","جدل"
ج,"ما هي الكلمة التي تعني لئيم الخلقة والخلق؟","الجعسوس"
ج,"ما هو العمل الأدبي الذي يُعتبر ملحمة بلاد الرافدين؟","ملحمة جلجامش"
ج,"من هو أكثر من سجل في نسخة واحدة في كأس العالم؟","جوست فونتين"
ج,"ما هو اسم صغير الكلب؟","جرو"
ج,"ما العملية الزراعية التي تُجرى عند نضج الثمار لجمع المحصول؟","جني"
ج,"مرادف لكلمة أنكر","جحد"
ج,"ما الحقبة الجيولوجية التي عاشت فيها الديناصورات وانتشرت فيها الزواحف الضخمة؟","جوراسي"
ج,"ما مرادف الصبر؟","جلد"
ج,"من هو الملاكم الذي انتصر على محمد علي كلاي؟","جو فرايزر"
ح,"ماذا كان يكنى أبو جهل قبل أن يغير الرسول صلى الله عليه وسلم كنيته؟","الحكم"
ح,"أنشدك عن عود حياته في ظلام ما يشوف النور إلا في آخر حياته، موجود لخدمة مخلوق مجهول، يأكل ويشرب، يُشبع ولا يشبع؟","الحبل السري"
ح,"ما هو صوت الشجر؟","حفيف"
ح,"ما هو الركن الخامس من أركان الإسلام؟","الحج"
ح,"أين يوجد جامع خالد بن الوليد رضي الله عنه؟","حمص"
ح,"ما هو الشيء الذي تحمله ويحملك؟","حذاء"
ح,"ما هو المرض الذي ترتفع فيه درجة حرارة الجسم؟","الحمى"
ح,"ما البقولية المشهورة التي يحمل طبقٌ شاميٌّ شهير اسمها؟","حمص"
ح,"ما هو الفعل الماضي الذي يعني أن الطفل زحف؟","حبى"
ح,"ما الذي يؤخذ من أفواه البسطاء؟","الحكمة"
ح,"أين يوجد أكبر تمثال نحاسي في العالم؟","تمثال الحرية"
ح,"اللاعب الوحيد الذي يستطيع استخدام يديه في كرة القدم شرط أن تكون داخل منطقته المخصصة هو؟","حارس المرمى"
ح,"ما يُتزيَّن به من مجوهرات وأحجار ثمينة ونحوهما.","حلي"
ح,"شيء يزيد إذا أخذت منه؟","الحفرة"
ح,"من عجائب الدنيا السبع؟","حدائق بابل المعلقة"
ح,"في الكرة الطائرة يوجد لاعب متخصص في الدفاع واستقبال الكرة، ويرتدي زيًا مختلفًا عن بقية الفريق ولا يُسمح له بالضرب الهجومي.","اللاعب الحر"
ح,"ما هو العنصر الأساسي المسؤول عن تكوين خلايا الدم؟","الحديد"
ح,"ماذا يطلق على صوت حركة أوراق الشجر؟","حفيف"
ح,"اسم يطلق على مكة والمدينة المنورة ويشير إلى مكانتهما العظيمة في الإسلام","الحرمان الشريفان"
ح,"أضخم الحيوانات اللافقرية هو؟","الحبار"
ح,"صمغ منذ القدم يستخدم لعلاج التشنجات","حلتيت"
ح,"ما اسم الحجر الذي يُقبِّله الحُجّاج في ركن الكعبة المشرفة؟","حجر الأسود"
ح,"ما الذي يفصل بين الكواكب الداخلية والخارجية؟","حزام الكويكبات"
ح,"ما هو شكل مجرة درب التبانة؟","حلزوني"
ح,"كم وصل عدد الطلاب والطالبات في جامعة الملك سعود الآن؟","حوالي 28,000"
ح,"ما الركن الإسلامي الذي يؤديه المسلمون بمكة المكرمة في شهر ذي الحجة؟","حج"
ح,"ما هو المصطلح الذي يعني مخالفة اليمين أو الحلف؟","الحنث"
ح,"ما هو الموقع الأثري في السعودية الذي يضم مدائن صالح؟","الحجر"
ح,"مصطلح نحوي يطلق على أحد أقسام الكلمة؟","حرف"
ح,"هو لقب أُطلق على الفايروس الخطير الذي يضر الأجهزة الإلكترونية","حصان طروادة"
ح,"كل قول أو فعل أو تقرير نسب الى النبي صلى الله عليه وسلم ؟","حديث"
ح,"ما هو اسم قصر الملك سعود الذي امتاز باللون الأحمر؟","الحمراء"
ح,"صفة يتصف بها الشخص وهو اسم لفتاة؟","حنان"
ح,"اسم يطلق على حيوان من الثديات ويتميز بأنه رشيق ومعروف بسرعته وجماله، ويتواجد في صحاري المملكة العربية السعودية؟","حصني"
ح,"من هو صاحب سر الرسول صلى الله عليه وسلم؟","حذيفة بن اليمان"
ح,"ماذا يسمى العنصر الكيميائي الذي يرمز له بالرمز Fe""؟""","الحديد"
ح,"مدينة يمنية؟","حضرموت"
ح,"من هو الشاعر الذي لقب بـ ""شاعر النيل""؟","حافظ إبراهيم"
ح,"ما هو اسم العلم الذي يدرس الأعداد وخصائصها؟","الحساب"
ح,"ماذا يطلق على المطبوعة التي تصدر كل عام؟","حولية"
ح,"ما المدينة السعودية الواقعة في شمال المملكة وتُعرف برالي السيارات السنوي؟","حائل"
ح,"ما هو أحد أنواع القمح؟","حنطة"
ح,"من القائل: الأم مدرسة إذا أعددتها أعددت شعباً طيب الأعراق؟","حافظ إبراهيم"
ح,"من هو الصحابي الذي لقب بـ غسيل الملائكة؟","حنظلة بن أبي عامر"
ح,"ما هو المصطلح الذي يطلق على من يحفظ القرآن الكريم كاملاً؟","الحافظ"
ح,"صحابي جليل غسلته الملائكة يوم وفاته في معركة أحد، فعُرف بلقب غسيل الملائكة","حنظلة بن أبي عامر"
ح,"ما الحويصلة التي تخزّن العصارة الصفراوية في جسم الإنسان؟","حويصلة المرارة"
ح,"ما اسم أكبر كائن حي على وجه الأرض؟","الحوت الأزرق"
ح,"ما هو اسم مرضعة النبي صلى الله عليه وسلم؟","حليمة السعدية"
ح,"مساحة واسعة تغطيها الخضرة والأشجار","حديقة"
ح,"ماذا يسمى الضيق والمشقة التي لا تُحتمل عادة، ويرخص الشرع لها حال وجودها؟","الحرج"
ح,"ما هو الشيء الذي يحيط بالبطن؟","حزام"
ح,"كساء قصير واسع يحيط بالعنق ويقع على الكتفين متدليا فوق الظهر والذراعين","الحرملة"
ح,"صحابي جليل قال عنه النبي ﷺ: إِنَّ ابنِي هذا سَيِّدٌ ، يُصْلِحُ اللهُ بهِ بين فِئَتَيْنِ من المسلمينَ""""","الحسن بن علي (رضي الله عنهما)"
ح,"ما الخيوط الطبيعية الفاخرة التي تُستخدم في نسج الأقمشة الفاخرة وتنتجها دودة القز؟","حرير"
ح,"ماذا يسمى الأنبوب الطويل الّذي يتكون من أعصاب تمتدُّ من الدماغ نزولاً إلى الظهر؟","الحبل الشوكي"
ح,"عملية جني المحصول الناضج من الحقول","الحصاد"
ح,"ما اسم أول محمية طبيعية في المملكة العربية السعودية؟","حرة الحرة"
ح,"ما هو الاسم الأول للاعب السعودي الذي حقق جائزة أفضل لاعب كرة قدم في آسيا عام ٢٠٠٥؟","حمد"
ح,"ما هي العبادة التي قال عنها النبي صلى الله عليه وسلم يرجع العبد كيوم ولدته أمه؟","الحج"
ح,"ما المصطلح العربي الذي يعني الموت أو الهلاك؟","حتف"
ح,"بما يختص علم الزولوجيا؟","الحيوانات"
ح,"صحابي جليل صاحب سر رسول الله ﷺ حيث أطلعه النبي على أسماء المنافقين","حذيفة بن اليمان (رضي الله عنه)"
ح,"من هم سيدا شباب أهل الجنة؟","الحسن والحسين"
ح,"من هو الهداف التاريخيّ لنادي الاتحاد السعودي؟","حمزة إدريس"
ح,"ما هي السورة التي سميت على اسم أحد العناصر الطبيعية؟","الحديد"
ح,"حبوب من التوابل تسمى بالهيل","الحبهان"
ح,"سيدة أودعت عندها النسخة الأولى من المصحف الشريف؟","حفصة بنت عمر بن الخطاب"
ح,"ما المصطلح الذي يُطلق على القول العميق الذي يحتوي على تجربة أو درس يُستفاد منه في الحياة؟","حكمة"
ح,"ما المدينة السورية التي تُسمّى مدينة خالد بن الوليد؟","حمص"
ح,"مايطلق على الشوق العاطفي إلى ماضٍ جميل أو مكان محبوب؟","حنين"
ح,"ما هو المفهوم الذي يعني عدم الانحياز أو الميل في الموقف إلى طرف أكثر من آخر؟","الحياد"
ح,"ما هو العنصر الذي رمزه Fe؟","الحديد"
ح,"ما يزاد على أطراف الكتاب وجوانبه من شروح وتعليقات وإيضاحات ونحوها.","حاشية"
ح,"ماذا تسمى الجائزة التي تمنح لأكثر لاعب حقق أهداف في بطولة الدوري؟","الحذاء الذهبي"
ح,"ما هو المعلم الذي يُعد من عجائب الدنيا السبع القديمة ويبدأ بحرف ح؟","حدائق بابل المعلقة"
ح,"ما هو اسم الفاكهة قبل النضج؟","حصرم"
ح,"ما هي المدينة السعودية الملقبة بعروس الشمال؟","حائل"
ح,"ما المادة التي تُنتَج من ضرع الحيوانات ويُصنَع منها اللبن والجبن؟","حليب"
ح,"هي صخرة ناصعة البياض قد أنزلها الله سبحانه وتعالى إلى الأرض ولكن قد تأثرت بذنوب خلق الله حتى اسودّت من شدة معاصيهم","الحجر الأسود"
ح,"مدينة في شمال سوريا قريبا.","حلب."
ح,"هو بساط صغير منسوج من الخوص","الحصير"
ح,"اسم بمعنى أسد؟","حيدرة"
ح,"كلمة بمعنى الازدحام والاكتظاظ","حشد"
ح,"مادة تستخدم في تسريع التفاعل الكيميائي؟","التحفيز"
ح,"ما القيمة الأخلاقية التي تعني المعاملة الطيبة والسلوك الرفيع؟","حسن"
ح,"ما هو الاسم العربي لكلمة لابة؟","حمم"
ح,"من هو الصحابي الذي أراد إرسال رسالة لقريش قبل غزو الرسول لمكة؟","حاطب بن أبي بلتعة"
ح,"ما اسم زوجة حاتم الطائي؟","حليمة"
ح,"ما معنى كلمة الحنشل عند أهل البادية؟","الحرامية"
ح,"ما هو الزاحف المشهور بقدرته الفائقة على تغيير لون جلده للتخفي أو التواصل؟","الحرباء"
ح,"ما القيمة الأخلاقية التي تعني الصبر على الآخرين وعدم التسرّع في الانتقام؟","حلم"
ح,"هو شاعرٌ اشتهر بكرمه قبل فصاحته عند قومه وقد ذُكر أنه من أكرم العرب في زمانه فمن يكون؟","حاتم الطائي"
ح,"ما هو الحيوان الذي حبس نبي بأمر الله يونس عليه السلام؟","الحوت"
ح,"من أقسام الكلمة؟","الحرف"
ح,"ما هو الشيء الذي تحمله ويحملك في نفس الوقت؟","حذاء"
ح,"ما الاسم العربي للبهار المعروف بالهيل؟","حبهان"
ح,"ما هو الشيء الوحيد الذي يراه الكفيف؟","الحلم"
ح,"من هو صاحب سر الرسول؟","حذيفة بن اليمان"
ح,"ما هي الكلمة التي تعني زحف المولود الصغير؟","حَبْو"
خ,"ما هو اسم أعمق نقطة في المحيطات؟","خندق ماريانا"
خ,"شيء يكتسبه الشخص بعد الاستمرار على فعل شيء ما؟","خبرة"
خ,"ما هي الكلمة التي تستخدم للإشارة إلى الحديث الذي لا معنى له أو الذي يحتوي على معلومات مختلطة وغير صحيحة؟","خنشار"
خ,"اسم أخويها صخر ومعاوية وتعتبر من أشهر النساء؟","الخنساء"
خ,"حالة تصيب مفاصل الإنسان خصوصاً مفصل الركبة بسبب تقدم العمر أو زيادة الوزن ينتج عنها احتكاك وألم؟","الخشونة"
خ,"ما معنى الصافنات الجياد في قوله تعالى: (إِذْ عُرِضَ عَلَيْهِ بِالْعَشِيِّ الصَّافِنَاتُ الْجِيَادُ)؟","خيول"
خ,"ما الاسم الذي يُطلق على مجموعة من الإجراءات المرتبة تهدف إلى تحقيق هدف معين؟","خطة"
خ,"الإصبع الخامسة من أصابع اليد في الناحية الزندية منها","خنصر"
خ,"من هي الصحابية التي نزل في حوارها مع الرسول صلى الله عليه وسلم قرآن يُتلى؟","خولة بنت ثعلبة"
خ,"هو شكل مطبوع بحبر سائل يستخدم كبديل للتوقيع لإثبات رؤية الشخص لوثيقة أو مستند ما.","الختم"
خ,"ما معنى كلمة الإكوادور؟","خط الاستواء"
خ,"ما هي الوحدة الأساسية والوظيفية في الكائنات الحية؟","خلية"
خ,"ما هو اسم التمر في مرحلة النضج الكامل؟","خلاص"
خ,"ما هو الاسم الذي يطلق على صوت النمر؟","خرخرة"
خ,"ما هو الحيوان الذي لا يرى بعينيه لكنه يرى بأذنيه؟","الخفاش"
خ,"هو لقبٌ اكتسبه الرسول ﷺ وهي رمزية لكونه آخر الرسل الذي اُوحي اليهم من الله سبحانه وتعالى حتى قيام الساعة فما هو هذا اللقب؟","خاتم الأنبياء"
خ,"ما النبتة البريّة التي تؤكل أوراقها وتُعرَف أحيانًا باسم الملوخيا البريّة؟","خبيزة"
خ,"ما الإقليم التاريخي في آسيا الوسطى الذي اشتهر بعلمائه في العهد العباسي؟","خوارزم"
خ,"ما اللون الناتج عن مزج الأزرق والأصفر؟","الأخضر"
خ,"ما المصطلح الذي يُستخدم لوصف القدرة على الحركة السريعة دون بذل جهد كبير؟","خفة"
خ,"من درجات الصداقة في اللغة العربية وهو من تتخلل محبته الروح الصديق الخالص الصادق في علاقته","الخليل"
خ,"ما المدينة المغربية المشهورة بمناجم الفوسفات وتسمى عاصمة الفوسفات؟","خريبكة"
خ,"شيء مهم في حياتنا يفقد ذيله إذا مشى خطوات إلى الأمام؟","الخيط"
خ,"من هي المجادلة التي ذكرت في القرآن الكريم؟","خولة بنت ثعلبة"
خ,"ما هي نهاية كل شيء؟","خاتمة"
خ,"من هو القائد المسلم الذي قاد معركة اليرموك؟","خالد بن الوليد"
خ,"هو الشخص الودود خالص الوفاء ورفيق الروح؟","خليل"
خ,"ما هو الاسم الذي يطلق على المشرق والمغرب معاً؟","الخافقان"
خ,"ماذا يسمى طلب الرجل يد المرأة للزواج، وتعتبر وعداً بالنكاح ومقدمة له؟","خطبة"
خ,"كم عدد أركان الإسلام؟","خمسة"
خ,"من هو الشخص الذي كان محارباً كبيراً وبنى الهرم الأكبر؟","خوفو"
خ,"ما العشبة التي تُستعمَل زيتها كملين وتُستخدم في الطب البشري والبيطري؟","خروع"
خ,"ما اسم الحيوان الذي يبدأ بحرف الخاء ويُعتبر من الحيوانات البحرية؟","خيار البحر"
خ,"تجمع للقيح والصديد في أي جزء من الجسم مما يسبب تورم والتهاب المنطقة المحيطة به.","خراج"
خ,"من هي أول من سجدت لله بعد الرسول صلى الله عليه وسلم؟","خديجة بنت خويلد"
خ,"فرغ الإناء أو المكان لما به؟","خلى"
خ,"ما هو الشيء الذي يحوي مدنًا بلا بيوت وغابات بلا أشجار، وبحارًا بلا ماء؟","الخريطة"
خ,"من هو عالم الرياضيات الذي وضع أسس علم الجبر؟","الخوارزمي"
خ,"رداء على الرأس يضعه الإنسان للحماية من المخاطر","خوذة"
خ,"ما اسم شخصية الفنان محمد هنيدي في فيلم صعيدي في الجامعة الأمريكية؟","خلف الدهشوري خلف"
خ,"ما الحذاء التراثي المصنوع من الجلد ويُلبَس قديمًا في بعض البلاد العربية؟","خف"
خ,"ماذا تسمى نهاية الشيء، وتستخدم للإشارة إلى الفقرة الأخيرة في الكتاب التي تلخص الأفكار؟","الخاتمة"
خ,"من أول من أسلم من النساء؟","خديجة بنت خويلد"
خ,"خلق في الإنسان يكون حميداً أو رذيلاً، أو جزء قليل من الشعر؟","خصلة"
خ,"دوام وبقاء أو الحياة الأبدية؟","الخلود"
خ,"من هو الطائر الذي يمكنه الرؤية حتى لو عصبت عينيه؟","خفاش"
خ,"كلمة تشير إلى عيب أو عطب تسبب في انعدام آداء المهمة بشكل صحيح","خلل"
خ,"ما الموسم الذي يلي الصيف ويتّسم بتساقط أوراق الشجر في المناطق المعتدلة؟","خريف"
خ,"من اكتشف النفط في السعودية؟","خميس بن رمثان"
خ,"ما الفعل الذي يعني الاستسلام والخضوع مع انعدام المقاومة؟","خنوع"
خ,"ما هي أعمق نقطة في المحيطات؟","خندق ماريانا"
خ,"حبوب صغيرة تُستعمل في صناعة الأساور","خرز"
خ,"ما هو الاسم الذي يطلق على بعض شركات الطيران؟","خطوط جوية"
خ,"هو نوع من أنواع التمور، تشتهر به مناطق القصيم، الخرج والأحساء","الخلاص"
خ,"من هو قائل عبارة لا نامت أعين الجبناء؟","خالد بن الوليد"
خ,"ما البذور التي تُستخدَم في صنع الصلصات وتوابل الطعام بطعم لاذع؟","خردل"
خ,"ماذا يطلق على ماينقل ويحدّث به قولًا أو كتابة؟","خبر"
خ,"ما الأرض التي فتحها المسلمون في عهد النبي بعد معركة قصيرة مع اليهود؟","خيبر"
خ,"ما هو الاسم الذي يطلق على ذكر الأرنب؟","خزز"
خ,"ما هي الغزوة التي تسمى بغزوة الأحزاب؟","الخندق"
خ,"ما هو الحيوان الذي يبيض كالطيور ولكنه من الثدييات؟","خلد الماء"
خ,"ما هو طعام الباندا المفضل؟","خيزران"
خ,"أداة متواجدة في اللباس الرسمي لأهل عمان وأهل اليمن","خنجر"
خ,"مرادف الحياء؟","خجل"
خ,"في قصة موسى والخضر ماذا فعل الخضر عندما ركبا في السفينة؟","خرق السفينة"
خ,"اسم يرمز إلى طول العمر","خالد"
خ,"ما المصطلح الذي يُطلق على تصورات الإنسان غير المرتبطة بالواقع والتي تنبع من الإبداع أو الرغبة؟","خيال"
خ,"ما هو العنصر الكيميائي الذي رمزه يبدأ بحرف الخاء؟","الخارصين"
خ,"من أهم طرق مدينة الرياض؟","خريص"
خ,"من هي الشاعرة الصحابية التي اشتهرت برثاء أخويها صخر ومعاوية؟","خنساء"
خ,"ما هو المصطلح الذي يُستخدم لوصف خطوات حل المشكلة في علم الحاسوب؟","الخوارزميات"
خ,"ما اسم الظاهرة الطبيعية التي تحصل عندما تكون الأرض بين القمر والشمس؟","الخسوف"
خ,"ما هو الاسم العلمي لمرض الزهايمر؟","الخرف"
خ,"من الصحابي الذي قُتل بعد أسره في مكة وظل ثابتًا على دينه حتى آخر لحظة؟","خبيب بن عدي"
خ,"هو امتداد واسع في الأرض يحدثه بحر؟","خليج"
خ,"اسم يطلق على السحاب التي ليس فيها رعد ولا برق","خرساء"
خ,"ما هو المصطلح الذي يُشير إلى سلسلة من التعليمات الرياضية أو المنطقية المترابطة، والتي تُستخدم لتحليل البيانات أو حل المشكلات في مجالات الحوسبة المختلفة؟","خوارزميات"
خ,"ما هو الشيء الذي أشغل سليمان عليه السلام عن ذكر الله؟","الخيل"
خ,"ما هو الحيوان الوحيد من الثدييات قادر على الطيران؟","الخفاش"
خ,"كلمة قاموسية معناها الختال؟","خداع"
خ,"من هو الصحابي الملقب بسيف الله المسلول؟","خالد بن الوليد"
خ,"انعقاد اللسان عن الكلام؟","خرس"
خ,"من هو الملك الفرعوني الذي قام ببناء تمثال أبي الهول؟","خفرع"
خ,"ما أول وزارة أمر الملك عبدالعزيز طيب الله ثراه بتأسيسها في عام 1349 للهجرة؟","وزارة الخارجية"
خ,"ما هي المتلازمة الأكثر شيوعاً بين كبار السن؟","خرف"
خ,"ما اسم الحيوان الذي يُعرَف في العربية أحيانًا بوصفه ""وحيد القرن""؟","خرتيت"
خ,"ما هو الاسم الذي يطلق على قديم الخمر وعتيقه في اللغة؟","خندريس"
خ,"من أين تحصل الأسماك في البحار على الأوكسجين؟","الخياشيم"
خ,"ما هو اسم البن الذي تشتهر به جازان؟","خولاني"
خ,"ما الولاية الجزائرية الواقعة في جبال الأوراس وتشتهر ببرودتها شتاءً؟","خنشلة"
خ,"هو خط عرض تتعامد عليه أشعة الشمس مرتين في السنة .. فما هو ؟","خط الاستواء"
خ,"من هو القائد الذي هزم هرقل في موقعة اليرموك؟","خالد بن الوليد"
خ,"من هو الصحابي الذي لُقّب بـ ""سيف الله المسلول""؟","خالد بن الوليد"
خ,"من هو الصحابي الذي سماه الرسول محمد صلى الله عليه وسلم بسيف الله المسلول؟","خالد بن الوليد"
خ,"أين نجد البحر الذي لا يحتوي على قطرة مياه؟","الخريطة"
خ,"ما هو أعمق نقطة في المحيطات؟","خندق ماريانا"
