الحرف,السؤال,الإجابة
ح,"صحابي جليل قال عنه النبي ﷺ: ""إِنَّ ابنِي هذا سَيِّدٌ ، يُصْلِحُ اللهُ بهِ بين فِئَتَيْنِ من المسلمينَ""",الحسن بن علي (رضي الله عنهما)
ح,صحابي جليل غسلته الملائكة يوم وفاته في معركة أحد، فعُرف بلقب غسيل الملائكة,حنظلة بن أبي عامر
ح,ما هو الحيوان الّذي ينقل بيته فوق ظهره؟,الحلزون
ح,اسم يطلق على قطعة من الأرض تُستخدم للزراعة أو الرعي؟,حقل
ح,ما اسم الحالة التي تنتج عن ارتفاع درجة حرارة الجسم عن المعدل الطبيعي؟,حمى
ح,أطلق الله تعالى على نبيه يونس عليه السلام اسم ذو النون، فماذا تعني كلمة النون؟,الحوت
ح,صحابي جليل صاحب سر رسول الله ﷺ حيث أطلعه النبي على أسماء المنافقين,حذيفة بن اليمان (رضي الله عنه)
خ,ما الأداة التي تُستخدم لوضع علامة رسمية على مستندات لإثبات صحتها أو اعتمادها؟,ختم
خ,الإصبع الخامس والأصغر في اليد يُلبس فيه خاتم الزواج في بعض الثقافات,الخنصر
خ,ما الاسم الذي يُطلق على جزء من البحر يدخل في اليابسة ويكون محاطًا بها من ثلاث جهات؟,خليج
خ,ما الشعور الذي ينتج عن الإحساس بالخطر أو التهديد، سواء كان حقيقياً أو متخيلاً؟,خوف
خ,ماذا يسمى طلب الرجل يد المرأة للزواج، وتعتبر وعداً بالنكاح ومقدمة له؟,خطبة
خ,اسم يطلق على السحاب التي ليس فيها رعد ولا برق,خرساء
خ,حالة من التعب الشديد والإرهاق وفقدان للطاقة والنشاط,خمول
خ,صفة تطلق على ما قل وزنه فسهل حمله، ويُستخدم مجازاً للدلالة على السرعة والرشاقة,خفيف
خ,ما هي أصغر وحدة بنائية في الكائن الحي، المسؤولة عن الحياة وأداء الوظائف الحيوية؟,الخلية
خ,ما النوع الأدبي الذي يتناول مواضيع مثل السفر عبر الزمن أو الكائنات الفضائية ويعتمد على عناصر علمية؟,خيال علمي
خ,هو انتهاك للأمانة والثقة أو خرق لعهد متفق عليه,خيانة
خ,ما الاسم الذي يُطلق على مجموعة من الإجراءات المرتبة تهدف إلى تحقيق هدف معين؟,خطة
خ,من هو العالم المسلم الذي أسس علم الجبر وأسهم في تطوير علم الرياضيات والفلك؟,الخوارزمي
خ,هو ما تغطي به المرأة رأسها وعنقها,خِمار
خ,نوع من الغزل المبروم الرفيع المصنوع من شعيرات الصوف أو القطن يستعمل في الحياكة والتطريز,الخيط
خ,ما اسم الوحدة الأساسية للبناء في الكائنات الحية؟,خلية
خ,ماذا يطلق على المادة في حالتها الطبيعية قبل معالجتها أو تعديلها؟,خام
خ,ما الاسم الذي يُطلق على الانسداد المفاجئ في أحد الأوعية الدموية نتيجة تجمع الدم وتجلطه؟,خثرة دموية
خ,ماذا تسمى المشية المتكبرة التي حرمها الله ورسوله؟,الخيلاء
خ,ما الاسم الذي يُطلق على مجموعة من الخطوات المنطقية التي تُستخدم لحل مشكلة أو تنفيذ مهمة معينة في البرمجة؟,خوارزمية
خ,ماذا تسمى نهاية الشيء، وتستخدم للإشارة إلى الفقرة الأخيرة في الكتاب التي تلخص الأفكار؟,الخاتمة
خ,ما هو الشيء الذي يحوي مدنًا بلا بيوت وغابات بلا أشجار، وبحارًا بلا ماء؟,الخريطة
خ,ما هو النص الموجز الذي يقدم أهم النقاط أو النتائج من عمل أطول (كبحث أو كتاب أو نقاش)؟,خلاصة
خ,ما المصطلح الذي يُطلق في علوم الحاسوب والرياضيات على مجموعة من الخطوات المرتبة والمنطقية تُستخدم لحل مشكلة أو تنفيذ مهمة محددة؟,خوارزمية
خ,يقول المثل: الكحل في العين الرمدة ....,خسارة
خ,يقول الحكماء: من حاسب نفسه ربح، ومن غفل عنها ...,خسر
خ,ما الاسم الذي يُطلق على التمثيل المصور للمواقع جغرافية؟,خريطة
خ,رداء على الرأس يضعه الإنسان للحماية من المخاطر,خوذة
خ,ما هو العضو الذي تتنفس به الأسماك تحت الماء؟,الخياشيم
خ,ماذا يطلق على ماينقل ويحدّث به قولًا أو كتابة؟,خبر
خ,ما أول وزارة أمر الملك عبدالعزيز طيب الله ثراه بتأسيسها في عام 1349 للهجرة؟,وزارة الخارجية
خ,نبات عشبي تستخدم بذوره كتوابل ذات نكهة لاذعة وقوية,خردل
خ,ما هو الطائر الذي يعتمد على تحديد الموقع بالصدى للتنقل والصيد ليلاً؟,الخفاش
خ,ما الاسم الذي يُطلق على المعرفة أو المهارة التي يكتسبها الشخص من خلال التجربة؟,خبرة
خ,كلمة بمعنى خوف مقرون بالتعظيم والمحبة أو بمعنى الخوف العظيم,خشية
خ,ما المصطلح الذي يُستخدم لوصف القدرة على الحركة السريعة دون بذل جهد كبير؟,خفة
خ,كلمة تشير إلى عيب أو عطب تسبب في انعدام آداء المهمة بشكل صحيح,خلل
خ,صحابي جليل كان من أوائل من أظهر إسلامه، وتعرض لعذاب شديد ومستمر من المشركين في مكة,خباب بن الأرت (رضي الله عنه)
خ,ما الاسم الذي يُطلق على الوحدات الأساسية المكونة لأجسام الكائنات الحية؟,خلايا
خ,إنهاء عقد الزواج بطلب من الزوجة مقابل عوض مالي تدفعه للزوج,خُلع
خ,ما المصطلح الذي يُطلق على تصورات الإنسان غير المرتبطة بالواقع والتي تنبع من الإبداع أو الرغبة؟,خيال
خ,ما النوع من الإبداع الكتابي الذي يُظهر صورًا غير واقعية بهدف التعبير الفني أو الرمزي؟,خيال أدبي
خ,ما اللقب الذي يُطلق على من تولى الحكم بعد وفاة النبي محمد صلى الله عليه وسلم لقيادة المسلمين؟,خليفة
خ,ما هي المادة الإنشائية المركبة التي تتكون أساساً من الإسمنت والركام والماء؟,خرسانة
خ,ما هو الطعام الذي يشار إليه بغذاء الغني والفقير؟,الخبز
خ,ماذا يطلق على الناقة التي فقدت حوارها؟,الخلوج
خ,ماللقب الّذي يطلق على الشخص الماهر بالطرق والذي يعرف المسالك جيدا في الصحراء؟,خرّيت
خ,مدينة تلقب بعروس النيلين كونها تقع عند ملتقى النيل الأزرق بالنيل الأبيض,الخرطوم
خ,ماذا يطلق على صندوق الدولة والّتي تتولى عملية تمويل كل نفقات الدولة؟,خزينة الدولة
خ,ما المصطلح الذي يُستخدم لوصف الشخص الذي يتمتع بروح مرحة؟,خفيف دم
خ,احمرار الوجه استحياءً ويصحبه توتر في المواقف الاجتماعية,الخجل
خ,ماذا يسمى صوت البقر؟,خوار
خ,محافظة كانت قديمًا مركز تجاري تقليدي في منطقة عسير وتقع على هضبة مرتفعة,خميس مشيط
د,متلازمة يحدث فيها غثيان ودوخة وتعب شديد وأعراض أخرى أثناء السفر بحرًا,دوار البحر
د,ما هي عاصمة أيرلندا؟,دبلن
د,من هو الصحابي الذي كان جبريل عليه السلام يتشكل أحيانًا في صورته أمام النبي محمد ﷺ؟,دحية الكلبي
د,ماذا يطلق على الصوت الشديد والّذي ينتج عن انفجار أو رعد أو نحوه؟,دوي
د,ما هو المصطلح العلمي الذي يعني دراسة السكان وإحصائياتهم؟,ديموغرافيا
د,ما الاسم الذي يُطلق على عملية حركة الدم داخل الجسم عبر القلب والأوعية الدموية؟,دورة دموية
د,لأي دولة تتبع جزيرة جرينلاند؟,الدنمارك
د,ما اسم أطول آية في القرآن الكريم والتي ترسي قواعد المعاملات المالية؟,آية الدين
د,ما الصفة التي تُطلق على من يؤدي عمله أو مواعيده بأعلى مستوى من الانضباط والالتزام؟,دقيق
د,ما المصطلح الذي يُشير إلى المعنى الذي تحمله الكلمة أو العبارة في سياق معين؟,دلالة
د,ما المصطلح الذي يُطلق على نشر الإسلام وتعريف الناس به؟,دعوة
د,ما اسم المركز العلمي الذي أسسه العباسيون في بغداد وكان منارة للترجمة والبحث العلمي؟,دار الحكمة
د,ما الاسم الذي يُطلق على نظام منافسة رياضية يتم فيه ترتيب الفرق حسب عدد النقاط المكتسبة خلال الموسم؟,دوري
د,"مالاسم الحقيقي للمثل والمصارع ""ذا روك""؟",دواين جونسون
د,ما اسم الجهاز العصبي المركزي الذي يقع داخل الرأس؟,دماغ
د,دولة تملك أقدم علم في العالم ولا يزال مستخدماً منذ عام 1219م؟,الدنمارك
د,أكمل المثل الشعبي: كل عود فيه ...,دخان
د,ما المصطلح الذي يُطلق على الفطنة والتبصر بالامور وجودة الرأي؟,دهاء
د,نوع من الأقمشة الحريرية الفاخرة والقوية يتميز بنعومته وألوانه المتعددة,ديباج
د,ما الاسم الذي يُطلق على نظام الحكم الذي يقوم على مشاركة الشعب في اتخاذ القرار؟,ديموقراطية
د,ما الاسم الذي يُطلق على القصيدة التي تنتهي أبياتها بحرف الدال؟,دالية
د,اسم يطلق على الممرات الضيقة الممتدة؟,دهاليز
د,ما الوصف الذي يُطلق على الشيء الذي لا ينقطع أو لا يتغير مع الزمن؟,دائم
د,من مرادفات كلمة (مرض),داء
د,نبات شائع يُستخرج من بذوره زيت لقلي الطعام؟,دوار الشمس
د,وصف يطلق على الدليل البات والجازم,دامغ
د,ماذا تسمى عملية تحويل جلد الحيوان بعد سلخه إلى منتج مفيد؟,الدباغة
د,ماذا تسمى الساق المتحورة تحت الأرض والّتي تحمل البراعم التي تنمو لتعطي نباتات جديدة؟,الدرنة
د,ما الاسم الذي يُطلق على المنطقة المنبسطة التي تتكوّن عند مصب النهر وتشبه شكل المثلث غالباً؟,دلتا
د,ما هي عاصمة جمهورية بنغلاديش الشعبية؟,دكا
د,جهاز أمني يتولى حماية السكان والممتلكات العامة من أخطار الحرائق والكوارث والحوادث المختلفة,الدفاع المدني
د,ما المصطلح الذي يُستخدم لوصف الأعمال الأدبية أو المسرحية التي تتناول الصراعات والمشاعر الإنسانية؟,دراما
د,أين تقع قلعة مارد؟,دومة الجندل
د,ما اسم السائل الذي يتدفق في الأوعية الدموية وينقل الأكسجين والمواد الغذائية؟,دم
د,هي أقدم عاصمة في التاريخ ولا تزال مأهولة بالسكان حتى اليوم,دمشق
د,ما اسم الظاهرة التي يتغيّر فيها تردد الصوت بسبب حركة المصدر أو المستقبِل؟,دوبلر
د,ما هي عاصمة الدولة السعودية الأولى؟,الدرعية
د,ما الاسم الذي يُطلق على مجموعة من القصائد الشعرية التي تُجمع في كتاب؟,ديوان
د,صحابي جليل، كان شديد الوسامة، وكان جبريل عليه السلام يأتي على صورته أحياناً,دحية بن خليفة الكلبي (رضي الله عنه)
د,ماذا يسمى صغير الدب؟,ديسم
د,نبي الله تعالى كان حسن الصوت وكانت الجبال والطيور تسبح بتسبيحه وهو والد نبي الله سليمان عليه السلام,داوود
د,ما هي الغدة التي تُفرز هرمونات تنظم عملية الأيض في الجسم؟,الدرقية
د,صحابي حسن الوجه، وكان جبريل عليه السلام يأتي على صورته,دحية الكلبي
د,ما هو الشكل الهندسي الذي تتساوى جميع نقاطه في البعد عن مركزه؟,دائرة
د,ما الاسم الذي يُطلق على الخطوط الوهمية التي تُرسم أفقياً على خريطة الأرض لتحديد المواقع الجغرافية؟,دوائر العرض
د,الابتهال والتضرع إلى الله والرغبة فيما عند الله من خير,الدعاء
د,ما المصطلح الذي يُستخدم لوصف تقديم المساعدة أو المساندة لجهة أو شخص ما لتحقيق هدف معين؟,دعم
د,كل مايمشي على الأرض من حيوان أو حشرة أو إنسان، ويشاع اطلاقها على ما يُركب من الحيوان,دابة
د,وعاء تقليدي عريق، ارتبط بتقديم القهوة العربية في المجالس والمناسبات، ويُعد رمزاً للكرم وحسن الضيافة في الثقافة العربية,الدلة
د,ما الاسم الذي يُطلق على فرع الفيزياء الذي يدرس تأثير القوى على حركة الأجسام؟,ديناميكا
د,ما الاسم الذي يُطلق على فن إدارة العلاقات الدولية والتفاوض بين الدول؟,دبلوماسية
د,ما الاسم الذي يُطلق على محل صغير يُباع فيه الطعام أو البضائع اليومية؟,دكان
د,مسمى قديم يطلق على الحارس والرقيب,الديدبان
د,لباس من الحديد يُلبس للوقاية من سلاح العدو,درع
ذ,ما اسم أصغر وحدة من المادة تحتفظ بخصائص العنصر الكيميائي؟,ذرة
ذ,ماذا يقال عن الدابة المروضة المطيعة سهلة الإنقياد والركوب والعمل,ذلول
ذ,ما هي الحالة النفسية التي تنتج عن الصدمة والمفاجأة الشديدة؟,ذهول
ذ,مجموعة السلوكيات والآداب والقيم التي يتعين على الأفراد الالتزام بها في الأماكن العامة,الذوق العام
ذ,عبادة تقوم على تسبيح الله وتحميده وترديد أسمائه,الذِكر
ذ,أصغر جزء في المادة يتكون من نواة تدور حولها إلكترونات,ذرة
ذ,ما هي صفة السماء التي ذكرها الله سبحانه وتعالى في القرآن الكريم عندما أقسم بها؟,ذات البروج
ذ,كلمة بمعنى انتشر وشاع الخبر,ذاع
ذ,القدرة على فهم الآخرين وقراءة إشاراتهم اللفظية وغير اللفظية والتعامل معهم حسب اختلافاتهم,الذكاء الاجتماعي
ذ,ماذا يسمى العدد من الإبل من ثلاثة إلى عشرة؟,ذود
ذ,ما هو اسم سيف الصحابي عمر بن الخطاب رضي الله عنه؟,ذو الوشاح
ذ,ما المصطلح الذي يُستخدم للتعبير عن حسن الاختيار أو التقدير الجمالي؟,ذوق
ذ,ما الاسم الذي يُطلق على الحالة التي تفقد فيها النباتات نضارتها نتيجة قلة الماء أو التقدم في العمر؟,ذبول
ذ,حشرة ترى العالم ببطئ شديد وتمتاز بقدرة بصرية مذهلة وتتذوق الطعام بأرجلها,الذباب
ذ,وحدة قياس طولية ذكرت في القرآن الكريم، وهو أيضًا جزء من الجسم,ذراع
ذ,ما اسم المعركة البحرية التي انتصر فيها المسلمون على الروم في عهد عثمان بن عفان؟,ذات الصواري
ذ,ما هو فرع علوم الحاسوب الذي يهتم بمحاكاة السلوك الذكي للإنسان؟,الذكاء الاصطناعي
ذ,ما المصطلح الذي يُستخدم للدلالة على أعلى نقطة في الشيء أو أعلى مرحلة في حدثٍ ما؟,ذروة
ذ,أحد أسماء القرآن الكريم وُرد ذكره في سورة آل عمران,الذكر الحكيم
ذ,ما هو المصطلح الإسلامي الذي يُطلق على غير المسلمين الذين يعيشون في كنف الدولة الإسلامية؟,ذمّي
ذ,ماذا تسمى عملية الذبح بالطريقة الشرعية؟,ذكاة
ذ,ما هي أول معركة بحرية كبرى في التاريخ الإسلامي ضد الإمبراطورية البيزنطية، وانتهت بانتصار ساحق للمسلمين؟,ذات الصواري
ذ,ما هو النظام السياسي الذي يمنح منطقة معينة استقلالية إدارية ضمن الدولة؟,ذاتية الحكم
ذ,مالكلمة الّتي تصف سيلان دموع العين، وتستخدم كثيراً في السياق العاطفي والحزن؟,ذرف
ذ,كلمة تطلق على النسل من الأبناء والأحفاد,ذرية
ذ,شخصية ذكرت في القرآن الكريم ضمن الأنبياء والصابرين والأخيار وقد اختلف المفسرون في كونه نبياً مرسلاً أو رجلاً صالحاً,ذو الكفل
ذ,ما المصطلح الذي يُستخدم للدلالة على النقد السلبي أو الكلام الذي يعبّر عن عدم الرضا؟,ذم
ذ,مناسبة سنوية لإحياء حدث أو تاريخ مهم؟,ذكرى
ذ,ماذا يسمى الحيوان الذي تم تذكيته بالطريقة الشرعية؟,ذبيحة
ذ,ما الاسم الذي يُطلق على المواد التي تُستخدم في الأسلحة النارية مثل الطلقات والقذائف؟,ذخيرة
ذ,من هو الملك العادل الّذي بنى سدًّا من الحديد والنحاس بين جبلين لرد فساد يأجوج ومأجوج؟,ذو القرنين
ذ,ماذا يسمى من لديه فصاحة اللسان وبلاغة الكلام؟,ذلق اللسان
ذ,ما اسم المعركة الشهيرة التي انتصر فيها العرب على الفرس قبل الإسلام؟,ذي قار
ذ,ما المصطلح الذي يُستخدم للدلالة على المسألة التي ظاهرها الإباحة ويتوصل بها إلى فعل المحظور؟,ذرائع
ذ,ماذا تسمى حالة انحلال المادة داخل السائل، وتأتي بمعنى سيلان المادة بعد جمودها؟,ذوبان
ذ,ما الجزء الذي يوجد في جسم بعض الحيوانات ويستخدم للتوازن أو الدفاع؟,ذيل
ذ,حالة من الخوف الشديد أو الرعب المفاجئ,ذُعر
ذ,حيوان مفترس يعيش في البرية ويشتهر بالعيش في جماعات ويضرب به المثل بالشجاعة,ذئب
ذ,ما هو الاضطراب النفسي الذي يتميز بفقدان الاتصال بالواقع؟,الذهان
ذ,أشهر ألقاب نبي الله إسماعيل عليه السلام,ذبيح الله
ذ,ما هو المصطلح الذي يُستخدم للإشارة إلى سبب غير حقيقي يُتخذ مبرراً للقيام بعمل ما؟,ذريعة
ذ,ما هي الحالة النفسية من الخضوع والانكسار التي تنتج عن الهزيمة؟,ذلة
ذ,ما هو المصطلح المحاسبي للمبالغ المستحقة للشركة لدى الغير؟,ذمم مدينة
ذ,ما اسم الغزوة التي شهدت أول صلاة خوف في الإسلام؟,ذات الرقاع
ذ,وصف للشيء أو الشخص القبيح المكروه,ذميم
ذ,ما اسم القدرة العقلية التي تمكّن الإنسان من تخزين المعلومات واسترجاعها؟,ذاكرة
ذ,ما يطلق على الانكسار والخضوع والهوان؟,الذل
ذ,ما هو لقب سيدنا يونس عليه السلام؟,ذو النون
ذ,ما اسم السيف الّذي أهداه النبي صلى الله عليه وسلم لعلي بن أبي طالب رضي الله عنه؟,ذو الفقار
ذ,ما هو المصطلح الاقتصادي الذي يُطلق على النفط لأهميته الاقتصادية؟,الذهب الأسود
ذ,ما هو ميقات أهل العراق ومن جاء عن طريقهم؟,ذات عرق
ذ,مصطلح علمي يطلق على الاهتزاز المتكرر ذهابًا وإيابًا حول نقطة توازن,ذبذبة
ذ,حالة من الشرود والحيرة والاضطراب الذهني المؤقت ناتجة عن صدمة تؤدي إلى عدم القدرة على التركيز,ذهول
ر,ما الكلمة التي تُستخدم للدلالة على الزاوية أو الجزء الثابت من البناء أو الشيء؟,ركن
ر,ما الاسم الذي يُطلق على قطعة الخبز المستديرة أو المستطيلة؟,رغيف
ر,ما هو النظام الاقتصادي القائم على الملكية الخاصة لوسائل الإنتاج والتنافس الحر؟,الرأسمالية
ر,مصطلح يُطلق على الأوراق أو الملابس المجموعة والمتماسكة,رُزم
ر,ما اسم خازن الجنة؟,رضوان
ر,ماذا تسمى خدمة الحجاج وإطعامهم؟,الرفادة
ر,نوع من أنواع السحب التي تتميز بوجودها عند ارتفاعات منخفضة على شكل عنقودي متراكم,ركام
ر,الاسم الذي أطلق على عام المجاعة الذي مر على المسلمين في العام 18 من الهجرة والتي استمرت 9 أشهر,الرمادة
ر,ما اسم الشخصية الأسطورية الإنجليزية التي اشتهرت بسرقة الأغنياء لإعانة الفقراء؟,روبن هود
ر,كلمة تعني سعة العيش والرفاهية وحسن الحال,رخاء
ر,ماذا يسمى المال المدفون في الأرض من الجاهلية الذي يجب فيه الخُمس؟,الركاز
ر,ما هو الحكم الشرعي الاستثنائي الذي يخفف عن المكلف في حالات العذر؟,الرخصة
ر,ما اسم العاصمة الأوروبية التي كانت مركز الإمبراطورية الرومانية القديمة؟,روما
ر,مصطلح باللغة ويعني الأساس أو الدعامة أو العمود الذي يستند عليه الشيء,ركيزة
ر,آلة لنقل الأحمال الثقيلة بأمان في مواقع البناء والمصانع والموانئ,الرافعة
ر,في أي مدينة يقع المقر الرئيسي للأمانة العامة لمجلس التعاون لدول الخليج العربية؟,الرياض
ر,سيلان أو نزيف الدم من الأنف,رعاف
ر,ماذا تسمى آخر الأنفاس واللحظات الأخيرة قبل الوفاة؟,رمق
ر,من هو اللّاعب الّذي لعب للهلال والاتحاد وسجّل هدفًا ضدهما؟,ريفاس
ر,صحابية جليلة من بني النجار، من المبايعات، كانت تغزو مع النبي ﷺ وتسقي الماء وتداوي الجرحى,الربيع بنت معوذ (رضي الله عنها)
ر,من هو القائد الفارسي الذي واجه المسلمين في معركة القادسية وهُزم وقُتل فيها؟,رستم
ر,ما هو الطائر الأسطوري هائل الحجم وقد ورد ذكره في رحلات السندباد البحري في كتاب ألف ليلة وليلة,الرخ
ر,ما هي أكبر دولة في العالم من حيث المساحة؟,روسيا
ر,صحابية جليلة تُعد أول ممرضة وطبيبة في الإسلام، اشتهرت بمهارتها في الطب وأنشأت أول مستشفى ميداني,رفيدة الأسلمية (رضي الله عنها)
ر,العضو الرئيسي في الجسم المسؤول عن إدخال الأكسجين إلى الدم والتخلص من ثاني أكسيد الكربون,الرئة
ر,ماذا تسمى السنة الّتي حدثت فيها مجاعة شديدة في زمن خلافة عمر بن الخطاب رضي الله عنه؟,الرمادة
ر,ما هو الحيوان الثديي المعروف بقناعه السوداء حول عينيه وبراعته في استخدام يديه؟,الراكون
ر,ما يُطلق على الطفل خلال أول سنة من عمره؟,رضيع
ر,ما هي الهيئة المسؤولة عن تنظيم منافسات الدوري السعودي؟,رابطة الدوري السعودي للمحترفين
ر,المنزلة التي تحدد مسؤوليات وصلاحيات الفرد في سياق تنظيمي أو اجتماعي,رُتبة
ر,ما الاسم الذي يُطلق على التمر في مرحلته المبكرة قبل أن يجف؟,رطب
ر,ما المادة المعدنية الثقيلة التي تُستخدم غالباً في صناعة الطلقات النارية؟,رصاص
ر,طائر خرافي بالغ القصصيون القدماء في وصفه وقيل أنه طائر كبير الحجم وقوته عظيمة جدًا وبيضته بحجم القبة,الرَخ
ر,ما هو المصطلح الذي يطلق على التصور المستقبلي والتطلعات طويلة المدى للمؤسسات والدول؟,رؤية
ر,من هي ابنة النبي صلى الله عليه وسلم التي تزوجها عثمان بن عفان وتوفيت يوم معركة بدر؟,رقية
ر,ما الجهاز الذي يُستخدم لكشف وتحديد مواقع الأجسام باستخدام الموجات اللاسلكية؟,رادار
ر,ماذا يسمى الصمام الذي يسمح بمرور الماء في اتجاه واحد فقط ويمنع رجوعه؟,الرداد
ر,شراب طهور ورد ذكره في القرآن الكريم وصفاً لما يسقاه الأبرار في الجنة,رحيق
ر,ما الظاهرة الطبيعية التي ترافق العواصف؟,رعد
ر,السورة القرآنية التي تكررت فيها آية معينة عدد 31 مرة لتأكيد نعم الله الكثيرة على الإنس والجن,الرحمن
ر,ما هو الانخفاض في النشاط الاقتصادي الذي يستمر لمدة طويلة؟,ركود
ر,ما هي عاصمة آيسلندا؟,ريكيافيك
ر,ما المصطلح الذي يدل على كمية بخار الماء الموجودة في الهواء؟,رطوبة
ر,ما النوع الأدبي الذي يسرد قصة طويلة تحتوي على شخصيات وأحداث متشابكة؟,رواية
ر,ما الكلمة التي تُوصف بها المادة أو الشيء الخفيف النحيف أو الإنسان اللطيف الطباع؟,رقيق
ر,ما هو المال أو المنفعة التي تُقدم للحصول على مصلحة غير مشروعة؟,رشوة
ر,من أسماء التمر ومذكور في القرآن الكريم؟,الرطب
ر,ما هو الحيوان الذي يقع قلبه في راسه؟,الروبيان
ر,من أي نادي قطري انتقل اللاعب المغربي عبدالرزاق حمدالله إلى النصر السعودي؟,الريان
ر,ما هو المصطلح الإسلامي الّذي يشير إلى فعل الشخص للعبادة من أجل أن يراه الناس؟,الرياء
ر,ماذا تسمى الأنهار الفرعية التي تصب في نهر رئيسي وتزيده بالمياه؟,روافد
ر,ماذا يسمى قطيع الخيول؟,رعيل
ز,لعبة في حدائق الأطفال تتكون من منحدر أملس للإنزلاق عليه,زحليقة
ز,وعاء فخاري كبير الحجم يستخدم قديمًا لتخزين المياه وتبريدها,زير
ز,اسم يطلق على الدوامة والإعصار,زوبعة
ز,ما اسم المرض العصبي الذي يُسبب تدهورًا تدريجيًا في الذاكرة والوظائف العقلية؟,زهايمر
ز,نبات يعتبر أغلى التوابل في العالم ويتميز بصبغة صفراء ورائحة عطرية نفاذة ويضيف نكهة للطعام,زعفران
ز,من هو الصحابي الذي تبناه الرسول صلى الله عليه وسلم قبل تحريم التبني وقاد جيش مؤتة؟,زيد بن حارثة
ز,ما هو الكتاب السماوي الذي أنزل على نبي الله داوود عليه السلام؟,الزبور
ز,ما يسمى العدد الذي يقبل القسمة على 2 بدون كسور؟,زوجي
ز,ما هو المصطلح الذي يعني الابتعاد عن متع الدنيا طلباً للآخرة؟,الزهد
ز,ما هو المفهوم الذي شغل الفلاسفة منذ القدم، ويُناقش كظاهرة نفسية وميتافيزيقية مرتبطة بالتغير والحركة؟,زمن
ز,ما هو الكوكب الوحيد في المجموعة الشمسية الذي يومه أطول من سنته؟,الزهرة
ز,من هو حواري الرسول صلى الله عليه وسلم وابن عمته وأحد العشرة المبشرين بالجنة؟,الزبير بن العوام (رضي الله عنه)
ز,في عالم الألعاب يعتبر خصما قويا يتطلب هزيمته استراتيجية ومهارة عالية وغالبًا يأتي في نهاية المرحلة,زعيم
ز,ما اسم الحجر الكريم الأخضر الذي يُعد من أثمن الأحجار الكريمة؟,زمرد / زبرجد / زركون
ز,ما الظاهرة الطبيعية التي تنتج عن حركة الصفائح الأرضية وتُسبب اهتزاز سطح الأرض؟,زلزال
ز,ما اسم الجزيرة التابعة لتنزانيا التي كانت مركزًا هامًا لتجارة التوابل؟,زنجبار
ز,ما اسم امرأة عزيز مصر التي راودت يوسف عليه السلام عن نفسه؟,زليخة
ز,قارب صغير أو مركبة مائية خفيفة تُستخدم للتنقل,زورق
ز,ما الاسم الذي يُطلق على نقطة التقاء خطين مستقيمين في الهندسة؟,زاوية
ز,ما اسم نوع الشعر الشعبي المُغنّى والذي يتميز بالارتجال وغالبًا ما يُستخدم في المهرجانات؟,زجل
ز,دولة أفريقية غير ساحلية كانت تُعرف سابقاً باسم روديسيا الشمالية,زامبيا
ز,ما هو المعدن الوحيد الذي يوجد في حالة سائلة عند درجة حرارة الغرفة القياسية، ويتميز بلونه الفضي؟,الزئبق
ز,ماذا يسمى تحرك الجيوش نحو العدو؟,زحف
ز,ما العنصر الكيميائي الذي يُستخدم في صناعة البطاريات وطلاء المعادن لحمايتها من الصدأ؟,زنك
ز,عملية جراحية متقدمة لاستنبات أعضاء بشرية عن طريق استبدال العضو التالف بآخر سليم,زراعة الأعضاء
ز,من هي المهندسة المعمارية العراقية الشهيرة التي صممت مباني عصرية مميزة حول العالم وفازت بجائزة بريتزكر؟,زها حديد
ز,ما المادة الشفافة التي تُصنع عادة من الرمل وتُستخدم في النوافذ والعدسات؟,زجاج
ز,صحابي جليل، كاتب الوحي، وجامع القرآن في عهد أبي بكر، وهو الذي تولى كتابة المصحف في عهد عثمان,زيد بن ثابت (رضي الله عنه)
ز,ما هو المصطلح الذي يطلق على إظهار الإسلام وإخفاء الكفر؟,زندقة
ز,أطول حيوان بري ثديي في العالم ويعيش في مناطق السافانا والغابات المفتوحة بأفريقيا,الزرافة
ز,رغوة بيضاء تتكون على سطح مياه البحر والشواطئ نتيجة اختلاط مياه البحر بالأملاح,زَبد البحر
ز,رجل في الجاهلية كان حنيفًا على ملة إبراهيم، وقال عنه النبي صلى الله عليه وسلم: إنه يُبعث يوم القيامة أمةً وحده,زيد بن عمرو بن نفيل
ز,أحد أهم المحاصيل في فلسطين وتشتهر بكونها شجرة مباركة وتعتبر أحد رموزها,زيتون
ز,مادة دهنية تستخرج من الحليب وتُتنج عن طريق خض اللبن المتخمر,زبدة
ز,ما هو البعد الرابع في النظرية النسبية لأينشتاين؟,الزمن
ز,ما هو المصطلح العربي الذي يطلق على البرد الشديد؟,زمهرير
ز,ما هي المعركة التي انتصر فيها المرابطون في الأندلس بقيادة يوسف بن تاشفين على ألفونسو السادس؟,الزلاقة
ز,مصطلح بمعنى الميل والإنحراف عن الحق,زيغ
ز,كلمة تعني المنع أو النهي بشدة، ويُستخدم أيضًا بمعنى التوبيخ أو الصياح للردع,زجر
ز,احتفال يعتبر عرف اجتماعي لتوثيق الاقتران بين الزوجين، وتتعدد مظاهره وتفاصيله حسب العادات والتقاليد,زفاف
ز,ما هو العنصر المعدني الوحيد الذي يكون سائلاً في درجة الحرارة العادية؟,زئبق
ز,من هو أول من سل سيفه في سبيل الله؟,الزبير بن العوام (رضي الله عنه)
