letter,question,answer
ج,"ما هي أكبر مدينة صناعية في العالم؟","الجبيل الصناعية"
ج,"ما المقصود بطور سينين في سورة التين؟","جبل"
ج,"ما هو أكبر بركان في العالم؟","جبل لاو"
ج,"من هو الملك الذي يكرهه اليهود ويعتبرونه عدواً لهم؟","جبريل"
ج,"ما هو الحيوان الذي يلقب بسفينة الصحراء؟","الجمل"
ج,"من أول من أثبت أن للهواء كتلة؟","جاليليو"
ح,"من هو الشاعر الذي هجى نفسه وأمه وأباه وزوجته؟","الحطيئة"
ح,"ما الصخر البركاني الذي يتكوّن بعد تصلُّب تلك الحمم؟","حجر بازلت"
ح,"ما هو اسم أم أشعب أمير الطفيليين، كانت مولاة لأسماء بنت أبو بكر رضي الله عنها؟","حميدة"
ح,"ما هو اسم أنثى الخيل؟","الحجر"
ح,"عملٌ من أعمال البناء يرتفع عموديًّا أو مواربةً على مدًى ما من الطُّول ويُستعمَل للتسوير","حائط"
ح,"ماذا يسمي القرآن أم جميل بن حرب؟","حاملة الحطب"
ح,"من هو سيد الشهداء؟","حمزة بن عبد المطلب"
ح,"ما اسم الطائر الذي يرمز للسلام؟","الحمامة"
ح,"من هو الصحابي الذي غسلته الملائكة؟","حنظلة بن أبي عامر"
ح,"ما هو اسم المعركة التي خاضها صلاح الدين الأيوبي ضد الصليبيين واستعاد فيها مدينة القدس؟","حطين"
ح,"ما تقوله العرب على الشعر الذي يكسو ظهر الحمار","حفاء"
ح,"ما هو أكبر بحر تطل عليه دولة عربية؟","البحر الأحمر"
ح,"ما المدينة السورية التي يمرُّ بها نهر العاصي وتشتهر بنواعيرها؟","حماة"
ح,"ما الزيّ الذي ترتديه المرأة المسلمة لتغطية شعرها وجسمها؟","حجاب"
ح,"ما المصطلح الذي يُطلق على القول العميق الذي يحتوي على تجربة أو درس يُستفاد منه في الحياة؟","حكمة"
ح,"ما اسم المادة الوراثية التي تحمل الشيفرة الجينية للكائنات الحية؟","الحمض النووي"
ح,"ما الاسم الثنائي للشاعر الملقب بشاعر النيل؟","حافظ إبراهيم"
ح,"ما النبات الذي يُنقَع في الماء ويُعرَف بفوائده الصحية في الطب البديل؟","حلبة"
ح,"ما اسم ابنة عمر بن الخطاب رضي الله عنه وزوجة النبي صلى الله عليه وسلم؟","حفصة"
ح,"ما هي الكلمة التي تعني زحف المولود الصغير؟","حَبْو"
ح,"ما الطائر الصحراوي الذي يُعَدّ من أهم طرائد الصيد في منطقة الخليج؟","حباري"
ح,"ماذا تسمى الجائزة التي تمنح لأكثر لاعب حقق أهداف في بطولة الدوري؟","الحذاء الذهبي"
ح,"من هو الصحابي الجليل قائل الأبيات: وأحسن منك لم تر قط عيني، وأجمل منك لم تلد النساء؟","حسان بن ثابت"
ح,"ما هو أعلى حيوان على وجه الأرض صوتاً؟","حوت العنبر"
ح,"ما هو الحيوان الذي يمتلك أكبر عين في العالم؟","الحبار العملاق"
ح,"أين يوجد أكبر تمثال نحاسي في العالم؟","تمثال الحرية"
ح,"ما الشيء الذي يُحفظ فيه الماء؟","الحاوية"
ح,"يطلق على شدة الندم على ما فات؟","حسرة"
ح,"ما هو جمع كلمة حليب؟","حلبان"
ح,"ما هو اللقب الذي أطلق على الصحابي الجليل عبد الله بن الزبير لملازمته المسجد والعبادة؟","حمامة المسجد"
ح,"من هم أنصار عيسى ابن مريم؟","الحواريون"
ح,"ما هي المدينة السعودية الملقبة بعروس الشمال؟","حائل"
ح,"مايطلق على الشوق العاطفي إلى ماضٍ جميل أو مكان محبوب؟","حنين"
ح,"ما معنى كلمة دمس؟","حجرة"
ح,"ما هي المدينة التاريخية الواقعة في شمال سوريا، والتي تُعد من أقدم المدن المأهولة في العالم وتشتهر بقلعتها وأسواقها القديمة؟","حلب"
ح,"هي قوة عسكرية مسلحة تساهم بالدفاع عن أراضي وحدود الدولة وتحافظ على الأمن والاستقرار الداخلي وتحمي المقدسات والمكتسبات والممتلكات للدولة","الحرس الوطني"
ح,"من هو عم النبي محمد صلى الله عليه وسلم ولُقب بـأسد الله وسيد الشهداء""؟""","حمزة بن عبدالمطلب"
ح,"المكان حيث يتم تخزين الغذاء والمياه المبتلعة لدى الطيور","الحوصلة"
ح,"ما اسم خريطة الصحراء العربية في لعبة باتلفيلد 5؟","حمادة"
ح,"الرياضة: من هو اللاعب الذي يكون في مركز هام في رياضة كرة القدم؟","حارس المرمى"
ح,"ما هو الركن الخامس من أركان الإسلام؟","الحج"
ح,"ما الشيء الذي يكبر حينما يتم أخذ المزيد منه؟","حفرة"
ح,"من هم أسفل الناس وأرذلهم؟","حثالة"
ح,"ما هو الفيلم الأمريكي الذي تدور أحداثه حول حرب النجوم؟","حرب النجوم"
ح,"ما هو الحد الديني الذي يقام على المفسدين في الأرض؟","الحرابة"
ح,"ما هو الكائن الحي الذي لديه أكبر عدد من الأسنان؟","الحلزون"
ح,"ماذا يطلق على المطبوعة التي تصدر كل عام؟","حولية"
ح,"ما هو الحيوان الذي يمكنه تغيير لونه ليناسب بيئته؟","الحرباء"
ح,"ما هو أكبر حيوان على وجه الأرض؟","الحوت الأزرق"
ح,"مهرجان يقام سنويًا بمحافظة الحريق","الحمضيات"
ح,"ما هو الاسم الأول للاعب السعودي الذي حقق جائزة أفضل لاعب كرة قدم في آسيا عام ٢٠٠٥؟","حمد"
ح,"الدولفين يعتبر من فصيلة ؟","الحيتانيات"
ح,"في أي سورة ذكرت كلمة فأسقيناكموه التي تعد أطول كلمة في القرآن الكريم؟","الحجر"
ح,"ما هي القوة العسكرية المسلحة التي تساهم بالدفاع عن أراضي وحدود الدولة وتحافظ على الأمن والاستقرار الداخلي وتحمي المقدسات والمكتسبات والممتلكات للدولة؟","الحرس الوطني"
ح,"ما هو اسم مرضعة النبي صلى الله عليه وسلم؟","حليمة السعدية"
ح,"من هو الخليفة الخامس؟","الحسن بن علي بن أبي طالب"
ح,"ماذا يسمى الضيق والمشقة التي لا تُحتمل عادة، ويرخص الشرع لها حال وجودها؟","الحرج"
ح,"ما هو الشيء الذي يمكن أن يكون أطول من الجبال وأعمق من البحار؟","الحلم"
ح,"من هو الشاعر الذي لقب بـ ""شاعر النيل""؟","حافظ إبراهيم"
ح,"ما الطائر المغرِّد ذو الألوان الزاهية ويُعرف بعذوبة صوته؟","حسون"
ح,"ما اسم الحالة التي تنتج عن ارتفاع درجة حرارة الجسم عن المعدل الطبيعي؟","حمى"
ح,"اسم بمعنى أسد؟","حيدرة"
ح,"من هو غسيل الملائكة؟","حنظلة بن أبي عامر"
ح,"ماهي السورة الكريمة التي تحتوي على سجدتين؟","سورة الحج"
ح,"ما اللفظ الذي يُطلَق على الشدة والقسوة في الظروف أو التعامل؟","حدة"
ح,"ما الخيوط الطبيعية الفاخرة التي تُستخدم في نسج الأقمشة الفاخرة وتنتجها دودة القز؟","حرير"
ح,"عنصر كيميائي من العناصر الانتقالية","الحديد"
ح,"من هو هداف المنتخب العراقي التاريخي؟","حسين سعيد"
ح,"ما هو شكل مجرة درب التبانة؟","حلزوني"
ح,"مملكة قديمة ظهرت في اليمن","حمير"
ح,"ما هو أشرس حيوان بحري؟","حوت الأوركا"
ح,"ما هو الشيء الذي يحملك وتحمله في نفس الوقت؟","حذاء"
ح,"عملية جني المحصول الناضج من الحقول","الحصاد"
ح,"ما هو الشيء الذي كلما أخذت منه زاد؟","الحفرة"
ح,"من النباتات البقولية الّتي تستخدم في العديد من الأكلات العربية.","حمص"
ح,"ما هو الاسم العلمي لمرض الجدري؟","الحماق"
ح,"ماذا يسبب الزلازل؟","حركة الصفائح"
ح,"بماذا يلقب اللاعب كريم بنزيما؟","حكومة"
ح,"ما اسم الشخص الذي ولد في جوف الكعبة؟","حكيم بن حزام"
ح,"هو أحد المقامات التي تُستعمل في قراءة القرآن الكريم؟","الحجاز"
ح,"ماهو الحيوان الّذي ينقل بيته فوق ظهره؟","الحلزون"
ح,"المباح الذي انحلت عنه عقدة الحظر في الشريعة الإسلامية.","حلال"
ح,"من هي مرضعة النبي محمد ﷺ؟","حليمة السعدية"
ح,"سفينة حربية كبيرة لها سطح واسع تستخدمه الطائرات للإقلاع والهبوط","حاملة طائرات"
ح,"ما الحيوان الرخوي البحري الذي يفرز حبرًا داكنًا للدفاع عن نفسه؟","حبار"
ح,"ما هي الدعوة التي يكرهها الشيطان؟","اللهم إني أسألك حسن الخاتمة"
ح,"ما اسم الأنبوب الذي ينقل البول من الكلى إلى المثانة؟","حالب"
ح,"ما اسم الوادي المشهور في السعودية الذي يُعد جزءًا من موقع التراث العالمي باليونسكو؟","وادي حنيفة"
ح,"ما المادة المنصهرة التي تخرج من باطن الأرض أثناء ثوران البراكين؟","حمم"
ح,"ما معنى كلمة الحنشل عند أهل البادية؟","الحرامية"
ح,"من أسماء السيف؟","حسام"
ح,"ما هو الطير الذي يتسبب في زيادة حرائق الغابات؟","الحدأة"
ح,"ما هو المذهب المتبع في المملكة العربية السعودية؟","الحنبلي"
ح,"ما هي أضخم الحيوانات اللافقارية؟","الحبار"
ح,"اسم يطلق على مكة والمدينة المنورة ويشير إلى مكانتهما العظيمة في الإسلام","الحرمان الشريفان"
ح,"بماذا سميت حجة الرسول صلى الله عليه وسلم الوحيدة؟","حجة الوداع"
ح,"ما هو المفهوم الذي يعني عدم الانحياز أو الميل في الموقف إلى طرف أكثر من آخر؟","الحياد"
ح,"من هو الشاعر الذي لقب بـ""شاعر النيل""؟","حافظ إبراهيم"
ح,"ماذا يسمى الحرف الذي يأتي قبل الفعل المضارع فينصبه؟","حرف النصب"
ح,"ما هو الشيء الوحيد الذي يراه الكفيف؟","الحلم"
خ,"ما الشجرة التي تُنتج قرونًا بنية حلوة يُستخرج منها بديل للكاكاو؟","خروب"
خ,"ما المدينة المغربية الواقعة في جبال الأطلس المتوسط وتشتهر بمناطقها الطبيعية؟","خنيفرة"
خ,"يقول المثل: الكحل في العين الرمدة ....","خسارة"
خ,"ما هو مرادف كلمة الخوف؟","خشية"
خ,"ما المصطلح الذي يُستخدم لوصف القدرة على الحركة السريعة دون بذل جهد كبير؟","خفة"
خ,"أقوى حيوان على وجه الأرض من حيث القوة النسبية مقارنة بحجمه؟","خنفساء الروث"
خ,"ما هو العنصر الكيميائي الذي رمزه يبدأ بحرف الخاء؟","الخارصين"
خ,"صحابي جليل كان من أوائل من أظهر إسلامه، وتعرض لعذاب شديد ومستمر من المشركين في مكة","خباب بن الأرت (رضي الله عنه)"
خ,"ما الأرض التي فتحها المسلمون في عهد النبي بعد معركة قصيرة مع اليهود؟","خيبر"
خ,"ما هو المصطلح الذي يُشير إلى سلسلة من التعليمات الرياضية أو المنطقية المترابطة، والتي تُستخدم لتحليل البيانات أو حل المشكلات في مجالات الحوسبة المختلفة؟","خوارزميات"
خ,"ما أول وزارة أمر الملك عبدالعزيز طيب الله ثراه بتأسيسها في عام 1349 للهجرة؟","وزارة الخارجية"
خ,"ماذا يطلق على المقتنيات غير المهمة وغير المفيدة؟","خردة"
خ,"ماهو الطعام الذي يشار إليه بغذاء الغني والفقير؟","الخبز"
خ,"من هي أول من سجدت لله بعد الرسول صلى الله عليه وسلم؟","خديجة بنت خويلد"
خ,"ما هي نهاية كل شيء؟","خاتمة"
خ,"ما هي الغزوة التي تسمى بغزوة الأحزاب؟","الخندق"
خ,"ماذا تسمى نهاية الشيء، وتستخدم للإشارة إلى الفقرة الأخيرة في الكتاب التي تلخص الأفكار؟","الخاتمة"
خ,"ما معنى كلمة الإكوادور؟","خط الاستواء"
خ,"ما هو ثاني أكبر هرم في العالم؟","خفرع"
خ,"كائن حي يوضع في العجين؟","خميرة"
خ,"ما اسم الحيوان الذي يُعرَف في العربية أحيانًا بوصفه ""وحيد القرن""؟","خرتيت"
خ,"من هو واضع علم العروض؟","خليل بن أحمد الفراهيدي"
خ,"من الظواهر الكونية التي تحدث للقمر؟","خسوف"
خ,"إنهاء عقد الزواج بطلب من الزوجة مقابل عوض مالي تدفعه للزوج","خُلع"
خ,"ماذا يطلق على المادة في حالتها الطبيعية قبل معالجتها أو تعديلها؟","خام"
خ,"ما هو الشيء الذي كلما أخذت منه كثر وكلما تركته خلفك زاد؟","الخطوات"
خ,"ما الموسم الذي يلي الصيف ويتّسم بتساقط أوراق الشجر في المناطق المعتدلة؟","خريف"
خ,"كلمة قاموسية معناها الختال؟","خداع"
خ,"ما هي أطول عضلة في جسم الإنسان؟","العضلة الخياطية"
خ,"مركز تجاري تقليدي في منطقة عسير ويقع على هضبة مرتفعة فما اسمها؟","خميس مشيط"
خ,"ما الثمرة المعروفة في بعض البلدان العربية باسم الدُّراق؟","خوخ"
خ,"ما هو الشيء الذي يستخدم في صنع العقود والسبحات؟","خرز"
خ,"من هو أول من صلى ركعتين قبل أن يُقتل؟","خُبيب"
خ,"الإصبع الخامس والأصغر في اليد يُلبس فيه خاتم الزواج في بعض الثقافات","الخنصر"
خ,"انتقال مفصل من موضعه؟","خلع"
خ,"ما عاصمة السودان؟","خرطوم"
خ,"مدينة تلقب بعروس النيلين كونها تقع عند ملتقى النيل الأزرق بالنيل الأبيض","الخرطوم"
خ,"ما الطريقة اليدوية التي تُستخدم لتوصيل قطع القماش بالإبرة والخيط؟","خياطة"
خ,"ما الإقليم التاريخي في آسيا الوسطى الذي اشتهر بعلمائه في العهد العباسي؟","خوارزم"
خ,"ما المصطلح الذي يُطلق على تصورات الإنسان غير المرتبطة بالواقع والتي تنبع من الإبداع أو الرغبة؟","خيال"
خ,"ما هو الحيوان الوحيد من الثدييات قادر على الطيران؟","الخفاش"
خ,"هي حلية من فضة أو ذهب تلبس في الرجل كالسوار في اليد؟","خلخال"
خ,"من هو الصحابي الذي قال فيه أبو بكر الصديق رضي الله عنه: عجزت النساء أن يلدن مثله؟","خالد بن الوليد"
خ,"احدى قبيلتين رئيستين في يثرب الـ  ..... ؟","الخزرج"
خ,"هو انتهاك للأمانة والثقة أو خرق لعهد متفق عليه","خيانة"
خ,"ما البذور التي تُستخدَم في صنع الصلصات وتوابل الطعام بطعم لاذع؟","خردل"
خ,"ما هو انكسار في قشرة الأرض في حيز معلوم منها؟","الخفس"
خ,"من الصحابي الذي قُتل بعد أسره في مكة وظل ثابتًا على دينه حتى آخر لحظة؟","خبيب بن عدي"
خ,"من هو القائد المسلم الذي قاد معركة اليرموك؟","خالد بن الوليد"
خ,"ما هو المصطلح الذي يطلق على انعقاد اللسان عن الكلام؟","خرس"
خ,"ما هي عملية تقصير البشت؟","خبن"
خ,"ما هي النبتة التي تكسو صحاري السعودية في فصل الربيع؟","خزامى"
خ,"ما هو الشيء الذي أشغل سليمان عليه السلام عن ذكر الله؟","الخيل"
خ,"ما هو المرض الذي يتميز بالنسيان الكثير؟","خرف"
خ,"نوع من أنواع الفنون الشعبية التقليدية في السعودية، وأحد أشكال الفلكلور الحجازي، يتميز بالإيقاعات السريعة والألحان البسيطة؟","الخبيتي"
خ,"ما المدينة العُمانية الواقعة في شمال السلطنة وتطل على بحر عمان؟","خصب"
خ,"ما هو الاسم الذي يطلق على قديم الخمر وعتيقه في اللغة؟","خندريس"
خ,"ما هو المصطلح الذي يعني الفقر والاحتياج وسوء الحال؟","خصاصة"
خ,"ما هو مرادف كلمة نهاية؟","خاتمة"
خ,"ما هو اسم بيت الأرنب؟","خرق"
خ,"ما هو الاسم العلمي لمرض الزهايمر؟","الخرف"
خ,"ما هي الوحدة الأساسية والوظيفية في الكائنات الحية؟","خلية"
خ,"ما هو الشيء الوهمي الذي يقسم الأرض إلى نصفين؟","خط الاستواء"
خ,"من هي أولى زوجات النبي صلى الله عليه وسلم ولقِّبت بالطاهرة؟","خديجة بنت خويلد"
خ,"ما هو الحيوان الذي يحيض مثل النساء؟","الخفاش"
خ,"من هي المجادلة التي ذكرت في القرآن الكريم؟","خولة بنت ثعلبة"
خ,"هو نوع من أنواع التمور، تشتهر به مناطق القصيم، الخرج والأحساء","الخلاص"
خ,"ما هو اسم قطعة من البحر تدخل في البر؟","خليج"
خ,"ما هو اسم البن الذي تشتهر به جازان؟","خولاني"
خ,"كلمة تشير إلى وجود مشكلة أو عيب يؤثر على أداء وظيفة معينة؟","خلل"
خ,"من الغازات الكيميائية السامة تستعمل عادة في الحروب وهي محرمة دولياً؟","الخردل"
خ,"ما هو الاسم الذي يطلق على المشرق والمغرب معاً؟","الخافقان"
خ,"المادة الأوليَّة التي توجد على حالتها الطبيعية قبل أن تُعالَج أو تُصنَّع.","خام"
خ,"من هو الصحابي الجليل الذي لقبه رسول الله صلى الله عليه وسلم سيف الله المسلول؟","خالد بن الوليد"
خ,"القائمون على أمر النار من الملائكة؟","خزنة"
خ,"انعقاد اللسان عن الكلام ؟","خرس"
خ,"كم مرة فازت البرازيل بكأس العالم؟","خمس مرات"
خ,"يغمس فيها التمر وتتكون من الدخن والسمن","خواضة"
خ,"ما معنى كلمة فارغاً؟","خالياً"
خ,"ما هو صوت الماء؟","خرير"
خ,"ما الحرفة اليدوية القائمة على صناعة الأواني الفخارية وتزيينها؟","خزافة"
خ,"ما هو الحيوان الذي يبيض كالطيور ولكنه من الثدييات؟","خلد الماء"
خ,"قبيلة جنوبية تزوج أجدادهم الجن، من هم؟","خثعم"
خ,"ما هو الاسم الذي يطلق على صوت النمر؟","خرخرة"
خ,"من هو الذي وضع علم العروض؟","الخليل بن أحمد الفراهيدي"
خ,"أداة متواجدة في اللباس الرسمي لأهل عمان وأهل اليمن","خنجر"
خ,"من هي أول زوجة للنبي محمد صلى الله عليه وسلم؟","خديجة"
خ,"ماذا تعني كلمة 'فول' في كرة السلة؟","خطأ"
خ,"ما هو اللقب الرسمي الذي يطلق على الحاكم وكان أول من استخدمه صلاح الدين الأيوبي في العصور الوسطى؟","خادم الحرمين الشريفين"
خ,"ما هو الحياء؟","الخجل"
خ,"ما هو الشيء الذي يربط بين شخصين ولكنه يلمس شخصاً واحداً فقط؟","خاتم الزواج"
خ,"ما هو الحيوان الذي ينام وهو واقف؟","الخيل"
خ,"هو شكل مطبوع بحبر سائل يستخدم كبديل للتوقيع لإثبات رؤية الشخص لوثيقة أو مستند ما.","الختم"
خ,"هي زبدة الشيء أو ما يستخرج من المادة حاويا لخصائصها؟","الخلاصة"
خ,"من ملوك السعودية؟","خالد"
خ,"ما اسم الملك الفرعوني الذي أمر ببناء الهرم الأكبر في الجيزة؟","خوفو"
خ,"من قام باكتشاف الرقم صفر؟","الخوارزمي"
خ,"ماذا يأكل الباندا؟","الخيزران"
خ,"مؤسس علم الجبر","الخوارزمي"
خ,"في أي مدينة دفن سيدنا إبراهيم عليه الصلاة والسلام؟","الخليل"
د,"ما الحشرة التي تنتج الحرير الطبيعي وتشتهر في صناعة الأقمشة الفاخرة؟","دودة القز"
د,"نوع من أنواع المفكات","درنفيس"
د,"أكمل قال الله تعالى في كتابه الكريم يرفع الله الذين آمنوا منكم والذين أوتوا العلم؟","درجات"
د,"ما الاسم الذي يُطلق على محل صغير يُباع فيه الطعام أو البضائع اليومية؟","دكان"
د,"هي أقدم عاصمة في التاريخ ولا تزال مأهولة بالسكان حتى اليوم","دمشق"
د,"ما هو الشيء الذي ليس له بداية وليس له نهاية؟","الدائرة"
د,"ما هو اسم أول عملة في الدين الإسلامي؟","دينار"
د,"ما الخدمة أو الوسيلة الإلكترونية التي تُستخدم لتبادل الرسائل الفورية والمحادثات على الإنترنت؟","دردشة"
د,"متجر لبيع الأشياء.","دكان"
د,"ماذا يطلق على ولد الفأر؟","درص"
د,"نهر منبعه من تركيا ويصب في الخليج العربي؟","دجلة"
د,"ما اسم مجرتنا؟","درب التبانة"
د,"ما هو مرادف كلمة درزن؟","دسته"
د,"القوة والمساندة؟","دعم"
د,"ما اسم أول وحدة عملة في تاريخ الإسلام؟","دينار"
د,"ماذا يطلق على الأسد القوي الشجاع؟","درغام"
د,"ما هو المصطلح أو اللقب الذي كان يطلق على المرأة التي تساعد النساء على الولادة في الماضي؟","الداية"
د,"عاصمة السنغال؟","داكار"
د,"من هو الرئيس والمالك لنادي إنتر ميامي الأمريكي؟","ديفيد بيكهام"
د,"من هو النبي الذي قتل جالوت؟","داوود"
د,"اسم يطلق على اللؤلؤة المميزة وكبيرة الحجم","الدانة"
د,"ماذا يطلق على الصوت الشديد والّذي ينتج عن انفجار أو رعد أو نحوه؟","دوي"
د,"ما هو الهرمون المسؤول عن السعادة؟","الدوبامين"
د,"ما هو أذكى حيوان في العالم؟","الدلافين"
د,"من أسماء الأسد","درغام"
د,"ما هو الشيء الذي يرطب العين من الداخل ويسهل حركتها؟","الدموع"
د,"كلمة مرادفة للسلم؟","درج"
د,"ماهي عاصمة جمهورية بنغلاديش الشعبية؟","دكا"
د,"كيف كانت تكتب الحروف العربية قديماً؟","من دون نقاط"
د,"أين يقع أطول مبنى في العالم؟","دبي"
د,"شيء أوله في دجلة وآخره في بغداد؟","حرف الدال"
د,"ما الحبوب الصغيرة التي تُزرع في المناطق القاحلة وتُستعمل في بعض الوجبات الشعبية؟","دخن"
د,"من هو الصحابي الذي كان جبريل ينزل على هيئته؟","دحية بن خليفة الكلبي"
د,"ما الاسم الذي يُطلق على نظام الحكم الذي يقوم على مشاركة الشعب في اتخاذ القرار؟","ديموقراطية"
د,"ما هو الفعل الذي يعني أبطل الحجة؟","دحض"
د,"ما العملة الرسمية في دولة الإمارات العربية المتحدة؟","درهم"
د,"ما المصطلح الذي يُطلق على الفطنة والتبصر بالامور وجودة الرأي؟","دهاء"
د,"ما الثديي المائي الذي يتنفس من فتحة أعلى رأسه ويتميّز بذكائه العالي؟","دلفين"
د,"ما هي أقدم عاصمة في التاريخ؟","دمشق"
د,"ما هو اسم المطعم في مسلسل فروم؟","دينر"
د,"من النبي الذي دفن بعد الرسول؟","دانيال"
د,"ما العملة الرسمية في الولايات المتحدة الأمريكية؟","دولار"
د,"ليل شديد الظلمة؟","ديجور"
د,"ما هو الدم الذي إذا تغير لونه أصبح طاهر؟","دم الغزال"
د,"أين تم اكتشاف أول بئر نفط في السعودية؟","بئر الدمام"
د,"نبيٌ كان يصنع دروعًا من حديد؟","داوود عليه السلام"
د,"ما هو الطائر الذي يكنى بأبي اليقظات؟","الديك"
د,"كلمة واحدة تعني ظُلمة الليل؟","دُجى"
د,"ما هي عاصمة أيرلندا؟","دبلن"
د,"ما هو الكائن الذي لا يستطيع العيش إلا في الماء العذب؟","الدولفين النهري"
د,"ما هو الزمن الطويل أو مدة الحياة كلها؟","الدهر"
د,"متلازمة يحدث فيها غثيان ودوخة وتعب شديد وأعراض أخرى أثناء السفر بحرًا","دوار البحر"
د,"ما هو المصطلح الذي يشير إلى برنامج ضار ينسخ نفسه وينتشر عبر الشبكات؟","دودة الكمبيوتر"
د,"ما هو النهر الذي يُعرف بـ بحر القصب؟","دجلة"
د,"الفيتامين المسؤول عن تقوية العظام","دال"
د,"ما الاسم الذي يُطلق على القصيدة التي تنتهي أبياتها بحرف الدال؟","دالية"
د,"مكان يجتمع فيه للنظر في أمور الدولة وقضايا الحكم","ديوانية"
د,"اسم أو مصطلح آخر لكلمة اللؤلؤ","الدرر"
د,"ما هو الشكل الذي لديه عدد لا نهائي من الجوانب؟","دائرة"
د,"نبي الله تعالى كان حسن الصوت وكانت الجبال والطيور تسبح بتسبيحه وهو والد نبي الله سليمان عليه السلام","داوود"
د,"ما هو الشيء الذي له رأس بلا عيون، وجسم بلا أذرع، وقدم بلا أصابع؟","الدبوس"
د,"ما اسم الإعصار الذي ضرب بلغاريا واليونان وليبيا في عام ٢٠٢٣؟","دانيال"
د,"من هو صاحب مقولة لخاروله كومبياله؟","دربحه"
د,"ما وحدة التخزين الشهيرة التي تعتمد على القرص الممغنط وتُستخدَم في الحاسوب؟","ديسك صلب"
د,"ما هو الطائر الذي يعرف بصوته المميز ويعيش في الأماكن الجبلية؟","الدراج"
د,"من هو المشهور الذي كان يعمل في السلك العسكري قبل شهرته؟","دربحه"
د,"شيء ليس له بداية ولا نهاية، ما هو؟","الدائرة"
د,"ماذا يطلق على المطر المستمر غير المصحوب ببرق ورعد؟","ديمة"
د,"ما المنصة المشهورة للتواصل بين اللاعبين والمجتمعات الإلكترونية عبر القنوات الصوتية والكتابية؟","ديسكورد"
د,"تعد من طرق التكاثر في النبات ومن أشهر أمثلتها البطاطس فماذا تسمى؟","الدرنات"
د,"ما الفاكهة المعروفة في بعض المناطق باسم ""الخوخ"" وتُؤكل طازجة أو مجففة؟","دراق"
د,"حركة دورانية قوية وسريعة تحدث في الماء وتسحب الأجسام المحيطة بها","الدوامة المائية"
د,"ما هو الاسم الذي يطلق على الليل شديد الظلمة في اللغة العربية؟","ديجور"
د,"ما يستطب به لعلاج الداء؟","دواء"
د,"ما هو المكان الذي اجتمعت فيه قريش ليلة الهجرة للتآمر على النبي محمد؟","دار الندوة"
د,"ما هو الاسم العلمي لمرض السل؟","الدرن"
د,"ما الاسم الذي يُطلق على الخطوط الوهمية التي تُرسم أفقياً على خريطة الأرض لتحديد المواقع الجغرافية؟","دوائر العرض"
د,"كل ما يمشي على الأرض ذكراً أو أنثى عاقلاً أو غير عاقل","الدابة"
د,"مرض يصيب الأوردة الدموية يؤدي لتوسعها وتضخمها فما هو؟","دوالي"
د,"ما هو الهدم حتى المساواة بالأرض؟","الدك"
د,"ماذا يسمى صغير الدب؟","ديسم"
د,"ماذا يطلق على صغير الدب؟","الديسم"
د,"هي لعبة فيديو قصصية تتناول أحداث المستقبل بعد احتلال العالم من قبل الروبوتات وكيف تطورت هذه الأجهزة حتى أصبحت تبدو كما يبدو شكل الإنسان وتشعر بما يشعر به الإنسان تماماً","ديترويت"
د,"ما هو الاسم الذي يطلق على صغير الدب في اللغة العربية؟","ديسم"
د,"بمعنى اللؤلؤة العظيمة النادرة","درة"
د,"من أنواع البراكين القمعي والمخروطي والمركبة؟","الدرعية"
د,"مسمى قديم يطلق على الحارس والرقيب","الديدبان"
د,"ما الشكل الهندسي الذي لا يحتوي على زوايا؟","دائرة"
د,"أكلة من المطبخ العراقي","دولمة"
د,"نجم مضيء متلألئ ساطع؟","دري"
د,"ما المصطلح الذي يُطلق على نشر الإسلام وتعريف الناس به؟","دعوة"
د,"ما اسم الدائرة الحكومية في التاريخ الإسلامي التي اختصت بكتابة الشؤون الإدارية والمالية؟","دواوين"
د,"عضو يتحكم في الحركة والإدراك؟","الدماغ"
د,"عين شديدة السواد ماذا تسمى؟","دعجاء"
د,"من هو قائد الجيش الثوري في ون بيس؟","دراجون"
د,"ما الاسم الذي يُطلق على فرع الفيزياء الذي يدرس تأثير القوى على حركة الأجسام؟","ديناميكا"
د,"ما هي أفضل عبادة؟","الدعاء"
د,"كتلة من سائل أو غاز تتحرك بحركة دائرية وتكثر في الأنهار والبحار تبدأ بحرف الدال","دوامة"
د,"من هو النبي الذي مات قبل الرسول محمد صلى الله عليه وسلم ودفن بعده؟","دانيال"
د,"ما هي الفاكهة التي تُعرف باسم “فاكهة الملوك”؟","دوريان"
ذ,"ما المعركة البحرية التي دارت بين المسلمين والروم في عهد عثمان بن عفان؟","ذات الصواري"
ذ,"من هو الملك العادل الّذي بنى سدًّا من الحديد والنحاس بين جبلين لرد فساد يأجوج ومأجوج؟","ذو القرنين"
ذ,"ما هو اسم الشهر الأخير في التقويم الهجري؟","ذو الحجة"
ذ,"ما هو نوع الذهب الذي يتميز بلونه الوردي الجذاب نتيجة خلطه بالنحاس؟","ذهب وردي"
ذ,"ما هو العمل الذي يُعد من أفضل الأعمال الصالحة ويقرب العبد من ربه؟","ذكر الله"
ذ,"القدرة على فهم الآخرين وقراءة إشاراتهم اللفظية وغير اللفظية والتعامل معهم حسب اختلافاتهم","الذكاء الاجتماعي"
ذ,"أشهر ألقاب نبي الله إسماعيل عليه السلام","ذبيح الله"
